ENOTA,VDV_MID,VDV_ID,VDV_UIME,VDV_DJ,POV_KM2,D_OD,DV_OD,N8,C1,STATUS,CEN_E,CEN_N
VD,18678802,611022,"Hiša Mažgon Hilde, Jesenovo 38c, Čemšenik",,3.99,2018/04/19,2018/04/20,611022,,V,498950,115316
VD,18678837,610018,ZADRUŽNI DOM PRAPRETNO,,3.11,2021/05/20,2021/05/20,610018,,V,505780,110755
VD,18678845,611006,"OŠ Tone Okrogar, Šolska ulica 1, Zagorje ob Savi",,2.3,2018/04/19,2018/04/20,611006,,V,498290,111316
VD,18787695,302003,"Občina Borovnica, Paplerjeva ul. 22, Borovnica",,2.8,2022/08/31,2022/08/31,302003,,V,450679,86657
VD,18787709,302005,"GD Breg pri Borovnici 18, Borovnica",,6.29,2022/08/31,2022/08/31,302005,,V,450809,88867
VD,18787717,302007,"PGD Brezovica pri Borovnici 42, Borovnica",,22.78,2022/08/08,2022/08/08,302007,,V,452739,85236
VD,18787725,302008,"CD Vrhnika, Tržaška c. 25, Vrhnika",,0.41,2022/08/31,2022/08/31,302008,,V,445649,91627
VD,18787733,302010,"OŠ I. Cankarja, Lošca 1, Vrhnika",,0.08,2022/08/31,2022/08/31,302010,,V,445259,91637
VD,18787741,302014,"OŠ I. Cankarja, Lošca 1, Vrhnika",,5.63,2022/08/31,2022/08/31,302014,,V,443279,92197
VD,18787750,302016,"GD Verd, Verd 100, Vrhnika",,0.38,2022/08/31,2022/08/31,302016,,V,445929,92137
VD,18787768,302018,"DK Dragomer, Na Grivi 5, Dragomer",,3.68,2022/08/31,2022/08/31,302018,,V,452429,98087
VD,18787776,302021,"DKS Stara Vrhnika, Stara Vrhnika 107a, Vrhnika",,7.59,2022/08/31,2022/08/31,302021,,V,444209,92987
VD,18787784,302024,"GD Ligojna, Mala Ligojna 18, Vrhnika",,5.32,2022/08/31,2022/08/31,302024,,V,445519,95097
VD,18787792,302025,"DKS Sinja Gorica, bš, Vrhnika",,2.28,2022/08/31,2022/08/31,302025,,V,447419,93607
VD,18787806,302028,"DGK Padež, Pokojišče, Zavrh pri Borovnici 1",,16.64,2022/08/31,2022/08/31,302028,,V,449549,84837
VD,18787814,302012,"GD Vrhnika, Jelovškova ul. 3, Vrhnika",,0.45,2022/08/31,2022/08/31,302012,,V,445469,92207
VD,18787822,302002,"OŠ Borovnica, Paplerjeva ul. 15, Borovnica",,2.08,2022/08/31,2022/08/31,302002,,V,450979,87627
VD,18787849,302015,"Župnijski vrtec Vrhnika, Hrib 2, Vrhnika",,10.82,2021/06/09,2021/06/09,302015,,V,442999,89527
VD,18787857,302020,"GD Drenov Grič, Drenov grič 25, Vrhnika",,6.5,2022/08/31,2022/08/31,302020,,V,448259,95507
VD,18787865,302027,"Bivša šola Zaplana, Zaplana 25, Vrhnika",,11.16,2022/08/31,2022/08/31,302027,,V,440149,93707
VD,18787873,302001,"LD Borovnica, Miklavičeva c. 2a, Borovnica",,0.75,2022/09/01,2022/09/01,302001,,V,450369,87147
VD,18787890,302006,"DK Dol-Laze, Obrtniška ul. 30, Borovnica",,7.66,2022/08/31,2022/08/31,302006,,V,449839,87947
VD,18787911,302011,"OŠ I. Cankarja, Lošca 1, Vrhnika",,0.07,2022/08/31,2022/08/31,302011,,V,445259,91787
VD,18787920,302013,"Elektro Ljubljana, Ljubljanska c. 23, Vrhnika",,0.65,2022/08/31,2022/08/31,302013,,V,446079,92747
VD,18787938,302017,"GD Verd, Verd 100, Vrhnika",,21.66,2022/08/31,2022/08/31,302017,,V,448249,89907
VD,18787946,302019,"GD Log pri Brezovici,Loška c.18,Log pri Brezovici",,1.9,2022/08/31,2022/08/31,302019,,V,451189,96927
VD,18787954,302023,"GD Podlipa, Smrečje 7, Vrhnika",,12.05,2022/08/31,2022/08/31,302023,,V,439829,96477
VD,18787962,302026,"PKS Blatna Brezovica, Blatna Brezovica 12,Vrhnika",,5.64,2022/08/31,2022/08/31,302026,,V,448809,92647
VD,18787989,302022,"KD Bevke, Bevke 17, Log pri Brezovici",,7.55,2022/08/31,2022/08/31,302022,,V,450469,93967
VD,18797941,302029,"GD Dragomer-Lukovica, Na Grivi 5, Dragomer",,2.74,2021/06/09,2021/06/09,302029,,V,452129,97787
VD,18807394,302030,"OŠ I. Cankarja, Lošca 1, Vrhnika",,0.38,2022/08/31,2022/08/31,302030,,V,444669,92187
VD,18808218,302031,"OŠ A.M. Slomška, Pod Hruševco 33, Vrhnika",,0.42,2021/06/09,2021/06/09,302031,,V,445645,93073
VD,18808226,302032,"GD Log pri Brezovici,Loška c.18,Log pri Brezovici",,2.73,2022/08/31,2022/08/31,302032,,V,450269,96477
VD,18900424,70625,"VO Bohova, Bohova 2a",,2.39,2022/09/01,2022/09/01,706019,,V,550402,152374
VD,18900432,70626,"Truck-stop, Miklavška c. 82",,0.98,2022/09/01,2022/09/01,706020,,V,550731,151156
VD,18975653,70627,"MČ Tezno, Panonska ul. 12",,1.36,2022/09/01,2022/09/01,706027,,V,552672,153254
VD,18998564,55826,"VS Zg. Kungota, Plintovec 1",,4.86,2002/12/13,2002/12/17,808025,,V,547912,167905
VD,18998572,89810,"Mulec, Ročica 40",,6.22,2015/06/03,2015/06/03,808026,,V,557282,166934
VD,18998637,70531,"OŠ R. Robiča, Limbuška c. 62",,4.8,2022/09/01,2022/09/01,705031,,V,543382,156625
VD,19007863,702004,"Tirgot, KS Impol, Levstikova ul. 2",,0.48,2022/09/02,2022/09/02,702004,,V,542481,140185
VD,19007871,702007,"Stopar Janez, Kovača vas 135",,3.38,2017/07/13,2017/07/13,702007,,V,542831,140865
VD,19007898,702014,"Avtohiša Jurič Slovenska Bistrica,  Lackova ul. 3",,0.89,2017/09/28,2017/09/29,702014,,V,543776,138516
VD,19007910,702020,"KS Vrhole-Preloge, Vrhole pri Slov. Konjicah 29",,4.11,2019/03/06,2019/03/06,702020,,V,539931,137085
VD,19007928,702021,"OŠ Zgornja Ložnica, Zgornja Ložnica 43",,4.53,2018/04/16,2018/04/16,702021,,V,539831,138505
VD,19007936,702023,"DK in GD, Veliko Tinje 33",,12.37,2022/09/02,2022/09/02,702023,,V,539011,140645
VD,19007952,702027,"Pečovnik Janko, Spodnje Prebukovje 11",,3.7,2022/09/02,2022/09/02,702027,,V,542011,143685
VD,19007979,702028,"Furman Vilibald, Ošelj 1",,10.3,2015/11/19,2015/11/19,702028,,V,541261,143195
