ENOTA,NA_MID,NA_ID,NA_UIME,NA_DJ,OB_MID,POV_KM2,D_OD,DV_OD,STATUS,CEN_E,CEN_N
NA,10134234,7,Dobrnež,,11027407,0.85,1995/01/01,1995/01/01,V,534941,133805
NA,10134242,8,Draža vas,,11027407,2.45,1995/01/01,1995/01/01,V,536891,131935
NA,10134269,9,Gabrovlje,,11027407,0.38,1995/01/01,1995/01/01,V,531931,135435
NA,10134277,10,Gabrovnik,,11027407,0.76,1995/01/01,1995/01/01,V,533821,135325
NA,10134285,6,Gorenje pri Zrečah,,11027687,1.56,1995/01/01,1995/01/01,V,529971,140235
NA,10134293,7,Gračič,,11027687,0.72,1995/01/01,1995/01/01,V,531811,136785
NA,10134307,2,Hudinja,,11028071,16.81,1995/01/01,1995/01/01,V,522951,144075
NA,10134315,11,Sveti Jernej,,11027407,2.13,1999/08/05,1999/08/05,V,539781,131635
NA,10134323,12,Kamna Gora,,11027407,2.88,1995/01/01,1995/01/01,V,529151,131635
NA,10134331,13,Klokočovnik,,11027407,2.97,1995/01/01,1995/01/01,V,537051,129135
NA,10134340,14,Koble,,11027407,1.2,1995/01/01,1995/01/01,V,538701,130805
NA,10134358,15,Kolačno,,11027407,0.99,1995/01/01,1995/01/01,V,538591,131735
NA,10134366,16,Konjiška vas,,11027407,3.21,1995/01/01,1995/01/01,V,534471,131615
NA,10134374,8,Koroška vas na Pohorju,,11027687,2.17,1998/05/26,1998/06/12,V,530461,140875
NA,10134382,17,Kraberk,,11027407,1.66,1995/01/01,1995/01/01,V,534091,128855
NA,10134404,18,Spodnji Jernej,,11027407,0.57,1999/05/07,1999/05/07,V,539891,130365
NA,10134412,9,Križevec,,11027687,1.61,1995/01/01,1995/01/01,V,528421,135805
NA,10134439,19,Ličenca,,11027407,3.36,1995/01/01,1995/01/01,V,540631,133995
NA,10134447,20,Lipoglav,,11027407,2.77,1995/01/01,1995/01/01,V,537581,128245
NA,10134455,3,Ljubnica,,11028071,6.02,1995/01/01,1995/01/01,V,525281,139085
NA,10134463,21,Loče,,11027407,1.58,1999/05/20,1999/05/21,V,538441,129135
NA,10134471,10,Loška gora pri Zrečah,,11027687,2.54,1998/05/26,1998/06/12,V,527862,139486
NA,10134480,22,Mali Breg,,11027407,0.48,1995/01/01,1995/01/01,V,538331,130355
NA,10134498,23,Mlače,,11027407,1.21,1995/01/01,1995/01/01,V,539161,129485
NA,10134501,24,Nova vas pri Konjicah,,11027407,1.02,1995/01/01,1995/01/01,V,535831,131975
NA,10134510,25,Novo Tepanje,,11027407,1.18,1995/01/01,1995/01/01,V,537141,134615
NA,10134528,26,Ostrožno pri Ločah,,11027407,0.73,1999/08/05,1999/08/05,V,536961,127575
NA,10134536,12,Padeški Vrh,,11027687,3.35,1995/01/01,1995/01/01,V,528541,142245
NA,10134544,4,Paka,,11028071,8.63,1998/08/22,1998/08/31,V,521031,142545
